vb.vb-key.vb-data;vb.vb-ora;vb.vb-dati.vb-tipo-v;vb.vb-dati.vb-codice-minsan;vb.vb-dati.vb-qta;vb.vb-dati.vb-dati-sospeso.vb-qta-sosp
20161223;1202;T   ;016366027    ;0001;0000
20161223;1202;T   ;016366027    ;0001;0000
20161228;0909;X   ;016366027    ;0001;0000
20161228;0909;X   ;016366027    ;0001;0000
20161228;1017;X   ;016366027    ;0001;0000
20161228;1017;X   ;016366027    ;0001;0000
20161228;1017;X   ;016366027    ;0001;0000
20170102;1904;X   ;016366027    ;0001;0000
20170102;1904;X   ;016366027    ;0001;0000
20170102;1904;X   ;016366027    ;0001;0000
20170102;1904;X   ;016366027    ;0001;0000
20170102;1904;X   ;016366027    ;0001;0000
20170102;1904;X   ;016366027    ;0001;0000
20170109;1046;E   ;016366027    ;0001;0000
20170109;1046;E   ;016366027    ;0001;0000
20170111;0941;H   ;016366027    ;0001;0000
20170111;0941;H   ;016366027    ;0001;0000
20170117;1025;X   ;016366027    ;0001;0000
20170117;1025;X   ;016366027    ;0001;0000
20170117;1025;X   ;016366027    ;0001;0000
20170117;1736;X   ;016366027    ;0003;0000
20170119;0843;T   ;016366027    ;0001;0000
20170119;0843;T   ;016366027    ;0001;0000
20170123;1524;H   ;016366027    ;0001;0000
20170123;1524;H   ;016366027    ;0001;0000
20170126;0950;E   ;016366027    ;0001;0000
20170126;0950;E   ;016366027    ;0001;0000
20170206;1004;H   ;016366027    ;0001;0000
20170206;1004;H   ;016366027    ;0001;0000
20170207;1020;E   ;016366027    ;0001;0000
20170207;1020;E   ;016366027    ;0001;0000
20170213;1547;X   ;016366027    ;0001;0000
20170213;1547;X   ;016366027    ;0001;0000
20170213;1547;X   ;016366027    ;0001;0000
20170214;1641;H   ;016366027    ;0001;0000
20170214;1641;H   ;016366027    ;0001;0000
20170217;1035;T   ;016366027    ;0001;0000
20170217;1035;T   ;016366027    ;0001;0000
20170221;0906;X   ;016366027    ;0001;0000
20170221;0906;X   ;016366027    ;0001;0000
20170221;0906;X   ;016366027    ;0001;0000
20170222;0951;X   ;016366027    ;0001;0000
20170222;0951;X   ;016366027    ;0001;0000
20170303;0913;T   ;016366027    ;0001;0000
20170303;0913;T   ;016366027    ;0001;0000
20170310;1116;X   ;016366027    ;0004;0000
20170315;1548;X   ;016366027    ;0001;0000
20170315;1548;X   ;016366027    ;0001;0000
20170315;1548;X   ;016366027    ;0001;0000
20170317;1621;X   ;016366027    ;0001;0000
20170317;1621;X   ;016366027    ;0001;0000
20170317;1621;X   ;016366027    ;0001;0000
20170321;1037;E   ;016366027    ;0001;0000
20170321;1037;E   ;016366027    ;0001;0000
20170321;1120;E   ;016366027    ;0001;0000
20170321;1120;E   ;016366027    ;0001;0000
20170323;0951;X   ;016366027    ;0002;0000
20170327;1621;H   ;016366027    ;0001;0000
20170327;1621;H   ;016366027    ;0001;0000
20170329;1058;E   ;016366027    ;0001;0000
20170329;1058;E   ;016366027    ;0001;0000
20170329;1712;X   ;016366027    ;0003;0000
20170410;1053;T   ;016366027    ;0001;0000
20170410;1053;T   ;016366027    ;0001;0000
20170413;0914;X   ;016366027    ;0001;0000
20170413;0914;X   ;016366027    ;0001;0000
20170420;1025;E   ;016366027    ;0001;0000
20170420;1025;E   ;016366027    ;0001;0000
20170426;0955;H   ;016366027    ;0001;0000
20170426;0955;H   ;016366027    ;0001;0000
20170429;1154;X   ;016366027    ;0001;0000
20170429;1154;X   ;016366027    ;0001;0000
20170429;1154;X   ;016366027    ;0001;0000
20170504;1053;H   ;016366027    ;0001;0000
20170504;1053;H   ;016366027    ;0001;0000
20170510;1851;X   ;016366027    ;0001;0000
20170510;1851;X   ;016366027    ;0001;0000
20170510;1851;X   ;016366027    ;0001;0000
20170515;1023;E   ;016366027    ;0001;0000
20170515;1023;E   ;016366027    ;0001;0000
20170516;1009;X   ;016366027    ;0004;0000
20170522;0845;X   ;016366027    ;0003;0000
20170522;1130;E   ;016366027    ;0002;0000
20170523;0955;H   ;016366027    ;0001;0000
20170523;0955;H   ;016366027    ;0001;0000
20170529;0918;T   ;016366027    ;0001;0000
20170529;0918;T   ;016366027    ;0001;0000
20170606;0947;X   ;016366027    ;0001;0000
20170606;0947;X   ;016366027    ;0001;0000
20170606;1142;H   ;016366027    ;0001;0000
20170606;1142;H   ;016366027    ;0001;0000
20170607;1718;X   ;016366027    ;0003;0000
20170609;1017;T   ;016366027    ;0001;0000
20170609;1017;T   ;016366027    ;0001;0000
20170614;0844;E   ;016366027    ;0001;0000
20170614;0844;E   ;016366027    ;0001;0000
20170614;1024;E   ;016366027    ;0001;0000
20170614;1024;E   ;016366027    ;0001;0000
20170619;1752;L   ;016366027    ;0001;0000
20170630;1206;X   ;016366027    ;0001;0000
20170630;1206;X   ;016366027    ;0001;0000
20170630;1206;X   ;016366027    ;0001;0000
20170703;1000;E   ;016366027    ;0002;0000
20170710;1526;H   ;016366027    ;0001;0000
20170710;1526;H   ;016366027    ;0001;0000
20170712;1042;E   ;016366027    ;0001;0000
20170712;1042;E   ;016366027    ;0001;0000
20170713;1736;L   ;016366027    ;0001;0000
20170720;1830;L   ;016366027    ;0001;0000
20170725;1203;X   ;016366027    ;0001;0000
20170725;1203;X   ;016366027    ;0001;0000
20170802;1001;X   ;016366027    ;0001;0000
20170802;1001;X   ;016366027    ;0001;0000
20170802;1045;E   ;016366027    ;0001;0000
20170802;1045;E   ;016366027    ;0001;0000
20170803;0924;T   ;016366027    ;0001;0000
20170804;1023;T   ;016366027    ;0001;0000
20170804;1023;T   ;016366027    ;0001;0000
20170805;1210;L   ;016366027    ;0001;0000
20170809;1013;E   ;016366027    ;0001;0000
20170809;1013;E   ;016366027    ;0001;0000
20170809;1102;E   ;016366027    ;0002;0000
20170810;1041;X   ;016366027    ;0001;0000
20170810;1041;X   ;016366027    ;0001;0000
20170810;1041;X   ;016366027    ;0001;0000
20170826;1052;X   ;016366027    ;0004;0000
20170828;0931;T   ;016366027    ;0001;0000
20170828;0931;T   ;016366027    ;0001;0000
20170828;0958;T   ;016366027    ;0001;0000
20170828;0958;T   ;016366027    ;0001;0000
20170902;1050;E   ;016366027    ;0001;0000
20170902;1050;E   ;016366027    ;0001;0000
20170906;1645;X   ;016366027    ;0001;0000
20170906;1645;X   ;016366027    ;0001;0000
20170906;1645;X   ;016366027    ;0001;0000
20170908;1106;X   ;016366027    ;0001;0000
20170908;1106;X   ;016366027    ;0001;0000
20170908;1106;X   ;016366027    ;0001;0000
20170913;0844;T   ;016366027    ;0001;0000
20170913;0844;T   ;016366027    ;0001;0000
20170913;1051;X   ;016366027    ;0001;0000
20170913;1051;X   ;016366027    ;0001;0000
20170913;1051;X   ;016366027    ;0001;0000
20170918;1546;H   ;016366027    ;0001;0000
20170918;1546;H   ;016366027    ;0001;0000
20170920;1021;E   ;016366027    ;0001;0000
20170920;1021;E   ;016366027    ;0001;0000
20170922;1100;X   ;016366027    ;0001;0000
20170922;1100;X   ;016366027    ;0001;0000
20170922;1100;X   ;016366027    ;0001;0000
20170925;1020;X   ;016366027    ;0001;0000
20170925;1020;X   ;016366027    ;0001;0000
20170928;1629;E   ;016366027    ;0001;0000
20170928;1629;E   ;016366027    ;0001;0000
20170929;1023;E   ;016366027    ;0001;0000
20170929;1023;E   ;016366027    ;0001;0000
20171002;0952;H   ;016366027    ;0001;0000
20171002;0952;H   ;016366027    ;0001;0000
20171012;1615;X   ;016366027    ;0001;0000
20171012;1615;X   ;016366027    ;0001;0000
20171012;1615;X   ;016366027    ;0001;0000
20171012;1732;H   ;016366027    ;0001;0000
20171012;1732;H   ;016366027    ;0001;0000
20171020;1145;X   ;016366027    ;0004;0000
20171024;1018;H   ;016366027    ;0001;0000
20171024;1018;H   ;016366027    ;0001;0000
20171026;0936;T   ;016366027    ;0001;0000
20171026;0936;T   ;016366027    ;0001;0000
20171109;0845;X   ;016366027    ;0003;0000
20171110;0937;H   ;016366027    ;0001;0000
20171110;0937;H   ;016366027    ;0001;0000
20171113;0850;T   ;016366027    ;0001;0000
20171113;0850;T   ;016366027    ;0001;0000
20171114;1019;E   ;016366027    ;0001;0000
20171114;1019;E   ;016366027    ;0001;0000
20171114;1845;X   ;016366027    ;0001;0000
20171114;1845;X   ;016366027    ;0001;0000
20171114;1845;X   ;016366027    ;0001;0000
