vb.vb-key.vb-data;vb.vb-ora;vb.vb-dati.vb-tipo-v;vb.vb-dati.vb-codice-minsan;vb.vb-dati.vb-qta;vb.vb-dati.vb-dati-sospeso.vb-qta-sosp;vb.vb-dati-anagrafici-prodotto.vb-principio-attivo;vb.vb-dati-anagrafici-prodotto.vb-gmk;vb.vb-dati-anagrafici-prodotto.vb-bd-category
20010713;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010713;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010713;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010713;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010713;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010713;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010713;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010713;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010713;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010713;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010714;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010714;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010714;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010714;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010714;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010714;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010714;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010715;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010715;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010715;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010715;0800;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010730;0913;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010730;1027;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010730;1514;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010730;1621;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010730;1716;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010730;1720;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010730;1813;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010730;1814;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010731;1027;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010731;1124;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010731;1236;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010731;1525;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010731;1605;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010731;1721;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010731;1855;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010801;1004;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010801;1012;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010801;1053;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010801;1520;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010801;1521;L-  ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010801;1539;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010801;1632;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010801;1821;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010801;1826;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010802;1001;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010802;1035;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010802;1111;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010802;1639;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010803;0848;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010803;0951;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010803;1025;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010803;1134;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010803;1601;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010803;1740;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010804;0943;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010804;0953;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010804;1057;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010804;1101;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010804;1518;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010804;1607;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010804;1634;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010805;1740;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010806;0905;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010806;0913;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010806;0931;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010806;0954;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010806;1020;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010806;1134;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010806;1601;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010806;1723;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010806;1736;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010807;0748;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010807;0852;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010807;1033;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010807;1134;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010807;1557;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010807;1628;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010807;1706;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010807;1707;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010807;1707;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010807;1716;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010807;1750;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010807;1827;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010807;1834;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010808;0928;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010808;1516;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010808;1614;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010808;1637;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010809;1459;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010809;1547;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010809;1718;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010809;1851;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010810;1123;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010810;1817;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010813;0903;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010813;0905;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010813;1106;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010813;1121;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010813;1200;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010813;1621;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010814;0834;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010814;0949;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010814;1011;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010814;1016;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010814;1044;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010814;1101;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010814;1550;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010814;1646;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010814;1845;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010816;1026;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010816;1054;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010816;1623;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010817;0900;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010817;1125;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010817;1556;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010817;1751;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010817;1845;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010817;1858;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010820;1015;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010820;1617;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010820;1745;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010820;1853;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010821;0853;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010821;0941;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010821;1045;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010821;1103;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010821;1657;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010821;1723;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010821;1809;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010821;1837;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010822;0858;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010822;1104;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010822;1117;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010822;1729;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010822;1823;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010823;0837;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010823;0936;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010823;1732;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010824;0847;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010824;1202;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010824;1224;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010824;1549;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010824;1749;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010824;1815;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010825;0922;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010825;0941;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010825;1049;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010825;1111;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010825;1743;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010825;1813;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010826;1021;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010826;1028;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010826;1124;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010826;1129;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010826;1130;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010827;0859;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010827;1006;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010827;1008;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010827;1022;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010827;1531;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010827;1543;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010827;1627;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010827;1732;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010827;1737;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010827;1824;L   ;004763114    ;0002;0000;000000;M0230                         ;A0420030101
20010827;1850;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010827;1857;L   ;004763114    ;0002;0000;000000;M0230                         ;A0420030101
20010828;1741;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010828;1819;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010828;1839;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010829;0804;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010829;0919;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010829;0949;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010829;1037;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010829;1046;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010829;1523;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010829;1846;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010830;0801;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010830;1459;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010830;1552;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010830;1556;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010830;1614;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010830;1631;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010830;1854;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010831;1121;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010831;1503;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
